AREA_CODE,AGE_GROUP,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,age
E06000001,76,685,575.413,663.47,633.459,681.105,738.139,766.05,981.547,924.261,923.607,873.114,830.38,861.217,859.452,809.887,881.182,869.38,948.85,945.815,1016.592,986.769,1063.367,1111.549,1100.384,1077.538,1128.901,76
E06000001,77,664,661.234,556.106,640.992,612.852,657.653,714.16,741.355,950.295,895.506,895.114,846.9,805.645,835.907,834.878,786.902,856.469,845.311,922.604,920.481,989.293,960.743,1035.481,1082.914,1072.395,1050.721,77
E06000001,78,689,638.517,635.316,536.02,619.249,592.907,635.588,690.229,717.229,919.853,867.669,867.322,821.233,781.74,811.241,810.77,764.742,832.304,821.919,897.108,895.766,962.66,935.481,1008.349,1054.96,1045.248,78
E06000001,79,666,657.293,611.286,606.867,512.574,592.732,568.449,609.723,661.994,688.348,883.54,833.94,833.84,790.106,752.662,781.269,781.325,737.603,802.717,793.267,866.014,865.288,929.949,904.266,974.865,1020.338,79
E06000001,80,560,640.975,631.146,586.791,583.311,493.203,571.151,547.916,587.944,638.368,664.137,853.064,805.614,805.744,764.121,728.293,756.234,756.938,715.096,778.123,769.494,840.079,840.06,902.701,878.35,947.019,80
E06000001,81,563,528.21,607.502,598.304,554.78,553.388,468.578,543.107,521.362,559.532,607.721,632.676,813.42,768.871,769.457,730.304,696.143,723.448,725.103,685.015,745.84,737.867,805.537,806.658,866.648,843.814,81
E06000001,82,501,529.952,496.539,571.063,562.914,520.471,522.537,442.357,513.096,493.008,529.26,575.239,599.128,771.072,729.806,730.895,694.296,661.843,688.5,691.157,652.845,711.418,704.107,768.673,771.014,828.24,82
E06000001,83,481,461.407,492.208,459.032,528.732,524.07,483.45,486.879,412.151,478.813,460.701,494.6,537.715,560.429,722.172,684.365,685.912,652.118,621.661,647.437,650.997,614.757,670.552,663.93,724.838,728.311,83
E06000001,84,452,447.439,430.787,457.932,428.428,494.447,491.199,453.318,456.926,387.734,450.647,434.332,466.679,507.362,529.234,682.668,647.528,649.25,617.927,589.481,614.263,618.368,584.539,637.553,631.882,689.991,84
E06000001,85,369,412.479,411.093,396.493,418.66,393.487,455.834,454.809,417.912,422.73,359.024,418.203,403.351,433.16,471.067,491.848,635.235,603.515,605.655,576.961,550.283,574.311,579.332,547.224,597.768,592.574,85
E06000001,86,340,331.569,370.119,368.47,355.689,378.293,355.172,412.313,413.026,378.773,384.803,326.98,381.579,368.537,395.843,430.677,450.135,582.18,554.13,556.547,530.818,506.436,529.294,534.977,505.396,552.708,86
E06000001,87,282,306.999,300.376,337.859,335.615,324.39,345.504,324.872,378.089,379.778,347.941,354.437,301.619,352.422,340.877,366.281,398.568,416.956,539.966,514.631,517.145,493.784,471.324,493.092,499.215,471.862,87
E06000001,88,235,243.094,267.447,260.671,294.257,293.249,284.033,303.335,286.099,333.204,335.259,308.536,314.496,268.635,313.901,304.525,328.053,357.241,374.234,485.518,463.246,465.79,445.52,426.199,446.036,452.064,88
E06000001,89,193,201.482,210.192,229.885,223.801,255.583,254.383,247.019,264.167,250.114,291.775,293.985,271.543,277.054,237.475,277.643,270.071,291.585,317.723,333.326,433.261,413.783,416.312,398.891,382.339,400.34,89
E06000001,90,754,756.99,770.736,783.945,812.176,834.8,879.382,915.067,939.293,975.782,996.935,1050.74,1100.065,1124.302,1151.178,1141.903,1169.996,1190.976,1229.984,1286.475,1348.525,1490.041,1594.919,1685.262,1745.86,1781.487,90
E06000002,60,1605,1684.786,1746.116,1689.43,1700.128,1759.546,1891.256,1777.66,1758.969,1839.233,1756.173,1646.458,1629.085,1522.765,1590.971,1613.628,1517.55,1440.82,1360.586,1329.624,1304.025,1234.811,1272.408,1335.207,1420.545,1431.391,60
E06000002,61,1567,1581.616,1659.657,1719.498,1665.137,1676.012,1734.486,1863.487,1754.123,1735.954,1814.105,1733.908,1626.944,1609.306,1506.235,1572.108,1594.545,1500.57,1424.595,1345.438,1314.674,1289.878,1221.885,1258.88,1321.402,1405.856,61
E06000002,62,1487,1541.366,1557.736,1634.851,1694.363,1642.684,1653.051,1711.172,1838.213,1732.913,1715.128,1791.145,1713.445,1608.97,1590.888,1490.712,1554.598,1576.908,1484.592,1409.098,1330.653,1299.942,1275.873,1208.896,1245.206,1307.956,62
E06000002,63,1496,1466.542,1519.043,1535.956,1610.913,1670.488,1620.535,1630.121,1687.814,1812.483,1711.549,1694.099,1767.538,1692.439,1590.591,1572.014,1474.952,1536.788,1558.937,1468.287,1393.423,1315.837,1285.249,1262.011,1196.237,1231.572,63
E06000002,64,1378,1479.692,1451.464,1502.822,1520.42,1594.294,1653.415,1605.031,1614.91,1672.034,1795.249,1697.148,1680.072,1752.328,1679.161,1579.213,1560.555,1465.588,1525.91,1547.985,1458.776,1384.341,1307.461,1277.026,1254.277,1189.244,64
E06000002,65,1355,1351.779,1453.159,1425.181,1475.06,1492.382,1565.764,1624.359,1577.642,1587.552,1643.952,1765.176,1670.385,1653.76,1724.395,1653.456,1555.931,1537.312,1444.866,1503.57,1525.635,1438.139,1364.587,1288.832,1258.85,1236.734,65
E06000002,66,1341,1337.131,1333.768,1434.5,1408.083,1455.78,1473.367,1545.726,1604.06,1558.787,1568.676,1624.494,1744.078,1651.957,1635.687,1705.015,1635.893,1540.265,1521.688,1431.228,1488.557,1510.591,1424.473,1351.573,1276.699,1247.068,66
E06000002,67,1303,1313.744,1311.059,1307.582,1405.407,1381.103,1427.469,1445.243,1516.136,1573.761,1530.658,1540.462,1595.639,1712.896,1624.284,1608.635,1676.209,1609.287,1516.282,1497.818,1410.024,1465.859,1487.767,1403.519,1331.673,1258.006,67
E06000002,68,1423,1280.391,1292.213,1290.102,1285.945,1380.559,1358.236,1403.529,1421.493,1491.077,1548.004,1506.816,1516.582,1571.233,1686.506,1601.062,1585.981,1651.91,1586.95,1496.174,1477.75,1392.343,1446.829,1468.654,1385.948,1314.943,68
E06000002,69,1504,1388.436,1252.897,1264.165,1259.891,1255.9,1349.076,1328.151,1371.885,1389.692,1457.681,1513.74,1474.469,1484.079,1537.84,1650.583,1568.616,1554.059,1618.057,1555.401,1467.363,1449.087,1366.46,1419.32,1440.977,1360.256,69
